year;id;square;cadrant;x;y;z;code;det_mat_col;burnt;length;group_fab;bearing;plunge;us_field;article_corpus;nature;ACC;refit;raw_material;surface_state;surface_state_class;Macro tapho;Micro tapho;Cortex;% cortex;Loca cortex;Techno;Infos_support;fragment;technique;talon;remarques talon;Nuc. sur éc.;Conception;modalité;Typo simple;Typo;Loca. ret.;Accident;_ 2cm;remarques;long;larg;ép;Courbure;obj;couche;couch correl EJF_16_ EJO inf _172_200;Decapage;No faune;Id;Lettre seule;refit;8B;Type;Type HR;species;Bonne.Species_sans_indet_;Sp_nisp.avant.remont_;SPE.OL;Bodypart;Bodypart_Pre_refit_;Bodypart_segments;BodyPR_DS__sans_indet_;BodyPR_DS;Bodypart__4_seg;Portion;Segment;NDE;BUR;Landmark;diam antero_post;circ. SUR cercle pierr;circ. au_dessus pierrure;Type bois;Side;AGE;haut metaconide;haut protoBUC;Wear;Int_surf;Length;Width;Sh_circ;Sh_length;Surf_State;OverallSS;SURF OBSERV;Traces;Gnaw;Extent;FracType;Frac_shA;Frac_shB;EdgeS;Dist;Ret:#Zo;Ret:Comp;PN_type;GouttiereRUL;Sill_MC;MTARSE;glued;Region;Comments;DESSIN _APRES LIGNE358_EJOP SUP H8_IaIV_;NON ETUDIE;0;LIG2_9;BANDE.B_J;Fouille;Long bois;Long ribs;code;ZOOM
2013;33;I5;II;-9.812;5.066;-2.186;GEOFACT;;;;NA;;;8;us18;NA;INDET;;Santonien;;0;;;;;;Naturel - Géofact;Bloc brut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;37;I5;II;-9.776;5.05;-2.237;GEOFACT;;;;NA;;;8;us19;NA;INDET;;Santonien;;0;;;;;;Naturel - Géofact;Bloc brut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;38;I5;II;-9.962;5.019;-2.125;SILEX;;;;NA;;;8;us18;MST;PM;;Santonien;Frais;1;;;;;;Pointe pseudo-Levallois;;;Directe dur;Facetté;;;discoïde;Indéterminé;;;;;;Moust disco ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;40;I4;III;-9.784;4.702;-2.148;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Distal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;41;I4;III;-9.727;4.939;-2.155;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;Proximal;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;42;I4;III;-9.794;4.942;-2.148;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;25;;Eclat cortical;<50%;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;43;I4;III;-9.903;4.768;-2.141;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;;;Eclat d'encoche;;;Directe dur;Lisse;large incliné;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;44;I4;III;-9.712;4.562;-2.102;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 44;44;44;;;;OS;;UNG2/3;;;;17.RIB;;;;;;SH;FR;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;18772;;;nouvelle;;S;OS;
2013;45;I4;III;-9.842;4.622;-2.141;FAUNE;;;;2;116;0;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 45;45;45;;;;OS;;RHINO;;;;17.RIB;;;;;;SH;FR;;;;;;;;;;;;;;140;36;;;;REL;100;;;;;;;;;;;;;;;;;;;;18773;;;nouvelle;;L;OS;
2013;46;I4;III;-9.828;4.996;-2.138;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 46;46;46;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;18774;;;nouvelle;;;OS;
2013;47;I4;III;-9.943;4.944;-2.135;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 47;47;47;;;;OS;;MAM;;;;NID;;;;;;FR;;;BL;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;18775;;;nouvelle;;;OS_BRULE;
2013;48;I4;III;-9.926;4.95;-2.134;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 48;48;48;;;;OS;;UNG2;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;18776;;;nouvelle;;;OS;
2013;49;I4;III;-9.934;4.964;-2.136;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;50;I4;III;-9.927;4.929;-2.139;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 50;50;50;;;;OS;;UNG3/4;;;;NID;;;;;;FR;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;18777;;;nouvelle;;;OS;
2013;51;I4;III;-9.578;4.543;-2.127;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 51;51;51;;;;OS;;RHINO;;;;MANT;;;;;;LP3-P2;;;;;;;;;R;J;;;1;;131;69;;;;SOM;100;CUT PROBABLES;GR?;;;;;;;;;;;;;2;;EN PLUSIEURS MORCEAUX;;;18778;;;nouvelle;;;OS;
2013;53;I4;III;-9.832;4.971;-2.16;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;;;Nucleus à éclat;sur éclat;Mésial;;;;;;;;;;;;tentative d'encoche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;54;I4;III;-9.931;4.988;-2.141;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 54;54;54;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;18779;;;nouvelle;;;OS;
2013;58;I4;III;-9.649;4.689;-2.186;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 58;58;58;;;;OS;;UNG3/4;;;;NID;;;;;;FR;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;18781;;;nouvelle;;;OS;
2013;59;I4;III;-9.822;4.696;-2.158;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 59;59;59;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;18782;;;nouvelle;;;OS;
2013;60;I4;III;-9.692;4.599;-2.164;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 60;60;60;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;18783;;;nouvelle;;;OS;
2013;61;I4;III;-9.747;4.631;-2.153;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 61;61;61;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;18784;;;nouvelle;;;OS;
2013;62;I4;III;-9.683;4.656;-2.165;SILEX;;;;NA;;;8;us18;NA;INDET;;Grain de mil;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;63;I4;III;-9.862;4.558;-2.135;SILEX;;;;NA;;;8;us18;MST;PM;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;;Directe dur;Cortical;;;discoïde;Centripète;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;64;I4;III;-9.657;4.507;-2.164;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;;;Eclat d'encoche;;;Directe dur;Lisse;large incliné;;;;;;;;;sur face inf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;65;I4;;-9.648;4.71;-2.2;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;66;I4;III;-9.708;4.625;-2.18;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 66;66;66;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;18785;;;nouvelle;;;OS;
2013;67;I4;III;-9.677;4.877;-2.177;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 67;67;67;;;;OS;;UNG2;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;18786;;;nouvelle;;;OS;
2013;68;I4;III;-9.789;4.843;-2.172;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 68;68;68;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;18787;;;nouvelle;;;OS;
2013;69;I4;III;-9.782;4.63;-2.171;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Mésial;;;;;Laminaire;Unipolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;70;I4;III;-9.806;4.625;-2.164;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;;;Eclat d'encoche;;;Directe dur;Lisse;large incliné;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;71;I4;III;-9.813;4.921;-2.16;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Siret;Directe dur;Lisse;;;;;;;;Siret;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;72;I4;III;-9.929;4.818;-2.158;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;;;Nucleus à éclat;peu exploité;Fragment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;73;I4;III;-9.925;4.729;-2.157;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;25;;Eclat cortical;<50%;;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;74;I4;III;-9.906;4.594;-2.159;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;79;I5;II;-9.78;5.414;-2.299;SILEX;;;;NA;;;8;us19;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;82;I4;III;-9.928;4.619;-2.151;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 82;82;82;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;18792;;;nouvelle;;;OS;
2013;83;I4;III;-9.932;4.826;-2.165;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 83;83;83;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;18793;;;nouvelle;;;OS;
2013;84;I4;III;-9.885;4.92;-2.168;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 84;84;84;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;18794;;;nouvelle;;;OS;
2013;85;I4;III;-9.817;4.781;-2.191;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Facetté;;;;;;;;;;centripète;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;86;I4;III;-9.752;4.693;-2.192;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;87;I4;III;-9.779;4.682;-2.18;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;100;;Eclat d'entame;;;Directe dur;Cortical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;88;I4;III;-9.7;4.674;-2.196;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 88;88;88;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;18795;;;nouvelle;;;OS;
2013;89;I4;III;-9.762;4.983;-2.178;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 89;89;89;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;18796;;;nouvelle;;;OS;
2013;90;I4;III;-9.676;4.95;-2.188;GEOFACT;;;;NA;;;8;us18;NA;INDET;;Santonien;;0;;;;;;Naturel - Géofact;Débris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;91;I4;III;-9.904;4.863;-2.173;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;;;Nucleus à éclat;peu exploité;Fragment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;92;I4;III;-9.942;4.896;-2.166;SILEX;;;;NA;;;8;us18;NA;INDET;;Grain de mil;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;93;I4;III;-9.734;4.593;-2.191;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Distal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;94;I4;III;-9.763;4.563;-2.191;GEOFACT;;;;NA;;;8;us18;NA;INDET;;Santonien;;0;;;;;;Naturel - Géofact;Bloc brut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;96;I4;III;-9.78;4.627;-2.188;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 96;96;96;;;;OS;;MAM;;;;LBN?;;;;;;FR;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;18798;;;nouvelle;;;OS;
2013;97;I4;III;-9.932;4.817;-2.178;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 97;97;97;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;18799;;;nouvelle;;;OS;
2013;98;I4;III;-9.895;4.818;-2.187;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Patiné, lustré et ébréché;3;;;;0;;Eclat non cortical;;Mésial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;99;I4;III;-9.939;4.972;-2.174;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;100;;Eclat d'entame;;;Directe dur;Cortical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;100;I5;II;-9.933;5.395;-2.333;SILEX;;;;NA;;;8;us19;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Dièdre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;101;I4;III;-9.718;4.693;-2.196;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 101;101;101;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;18800;;;nouvelle;;;OS;
2013;102;I4;III;-9.741;4.619;-2.191;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 102;102;102;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;18801;;;nouvelle;;;OS;
2013;103;I4;III;-9.846;4.641;-2.19;GEOFACT;;;;NA;;;8;us18;NA;INDET;;Santonien;;0;;;;;;Naturel - Géofact;Bloc brut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;104;I4;III;-9.888;4.662;-2.189;SILEX;;;;NA;;;8;us1819;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Punctiforme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;105;I4;III;-9.935;4.688;-2.189;FAUNE;;;;NA;;;8;us1819;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 105;105;105;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;18802;;;nouvelle;;;OS;
2013;106;I4;III;-9.906;4.804;-2.186;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US8;9.EJOP;NO. 106;106;106;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;18803;;;nouvelle;;;OS;
